date,home,away,market,selection,book,odds,fair_p,fair_odds,ev,stake,league,kickoff,FTHG,FTAG,PSCH,PSCD,PSCA,PC>2.5,PC<2.5,won,profit,profit_flat,close_odds,clv,ev_close
2026-09-26,Kumu,LAUTP,1x2,1,SB,3.25,0.3146688164797705,3.1779443898734345,0.0226736535592542,2.519294839917135,Finland - Kolmonen,15:00,,,2.82,4.58,1.8547,,,,,,2.82,0.15248226950354615,0.022673653559254214
2026-09-26,LKS Barycz Sulow,Zaglebie Lubin II,1x2,1,SB,2.57,0.4254772903652025,2.350301702687032,0.0934766362385703,14.884814687670444,Poland - 3rd Liga,19:00,,,2.14,3.51,2.68,1.495,2.35,,,,2.14,0.20093457943925208,0.09347663623857039
2026-09-26,Lokomotiv Oslo,Gamle Oslo,1x2,1,SB,4.4,0.2483364718828649,4.026794745121768,0.0926804762846056,6.814740903279825,Norway - 3rd Division,19:30,,,3.38,5.66,1.5319,,,,,,3.38,0.3017751479289943,0.09268047628460563
2026-09-26,MKS Mazovia Minsk Mazowiecki,Wigry Suwalki,1x2,1,SB,2.3,0.4804700117657529,2.0812953472890987,0.1050810270612314,20.0,Poland - 3rd Liga,17:00,,,1.9174,3.78,2.95,1.5076,2.32,,,,1.9174,0.1995410451653279,0.10508102706123146
2026-09-26,NTNUI,Nardo,1x2,2,SB,2.02,0.5489810634735038,1.82155645528612,0.1089417482164778,20.0,Norway - 3rd Division,15:00,,,3.34,4.38,1.7092,,,,,,1.7092,0.18183945705593252,0.10894174821647784
2026-09-26,Ninove,KRC Gent,1x2,2,SB,3.6,0.3311181389819245,3.0200701268576204,0.1920253003349283,18.46397118605081,Belgium - 2nd Amateur Division,20:30,,,2.01,3.95,2.67,1.4292,2.53,,,,2.67,0.348314606741573,0.19202530033492837
2026-09-26,Nova Cidade,Goytacaz,1x2,X,SB,2.95,0.3516889169333022,2.8434219898651225,0.0374823049532415,4.805423711954045,Brazil - Carioca B1,20:45,,,2.72,2.53,2.72,2.32,1.4975,,,,2.53,0.16600790513834007,0.03748230495324156
2026-09-26,Olimpia Elblag,Lechia Tomaszow Mazowiecki,1x2,2,SB,3.05,0.3452665551571678,2.896312964760785,0.053062993229362,6.471096735288054,Poland - 3rd Liga,17:00,,,2.26,3.39,2.58,1.4367,2.5,,,,2.58,0.1821705426356588,0.05306299322936203
2026-09-26,Olimpia Elblag,Lechia Tomaszow Mazowiecki,ou25,Over 2.5,SB,1.59,0.6558513361529604,1.524735782144958,0.042803624483207,18.13712901830808,Poland - 3rd Liga,17:00,,,2.26,3.39,2.58,1.4367,2.5,,,,1.4367,0.10670286072248913,0.04280362448320707
2026-09-26,Persipura Jayapura,Persis Solo,1x2,2,SB,5.0,0.2143419038815273,4.66544330292376,0.0717095194076367,4.481844962977294,Indonesia - Championship,15:00,,,1.6369,4.02,3.95,1.8,1.9434,,,,3.95,0.26582278481012644,0.0717095194076367
2026-09-26,Queens University,Moyola Park,1x2,2,SB,4.3,0.2540103142659655,3.936848009065232,0.0922443513436515,6.988208435125114,Northern Ireland - Championship,17:00,,,1.6849,4.28,3.35,1.625,2.12,,,,3.35,0.28358208955223874,0.0922443513436515
2026-09-26,ROW 1964 Rybnik,Stal Brzeg,1x2,1,SB,2.0,0.5307807146034837,1.8840172080235495,0.0615614292069675,15.390357301741876,Poland - 3rd Liga,19:00,,,1.7519,3.55,3.67,1.578,2.17,,,,1.7519,0.1416176722415663,0.0615614292069675
2026-09-26,Spisska Nova Ves,Poprad,1x2,X,SB,3.85,0.2716945752992823,3.680603482415725,0.0460241149022369,4.037203061599729,Slovakia - 3. Liga,16:30,,,1.5102,3.11,7.09,1.6944,2.01,,,,3.11,0.23794212218649524,0.0460241149022369
2026-09-26,Star Starachowice,Siarka Tarnobrzeg,1x2,2,SB,2.5,0.4169777715374134,2.398209372919234,0.0424444288435337,7.074071473922287,Poland - 3rd Liga,16:00,,,2.64,3.48,2.18,1.6494,2.09,,,,2.18,0.14678899082568808,0.04244442884353372
2026-09-26,TiPS,Atlantis/PM,1x2,2,SB,4.3,0.2418883098477394,4.134139432490418,0.0401197323452797,3.0393736625211947,Finland - Kolmonen,18:15,,,1.4673,6.54,3.43,,,,,,3.43,0.25364431486880457,0.04011973234527977
2026-09-26,Valerenga II,Baerum,1x2,2,SB,1.66,0.6475585140733822,1.544261990641789,0.0749471333618143,20.0,Norway - 3rd Division,15:00,,,3.76,6.07,1.4673,,,,,,1.4673,0.1313296531043413,0.07494713336181436
2026-09-26,Victoria Wrzesnia,Lipno Steszew,1x2,2,SB,3.3,0.3447818835347339,2.9003844104217795,0.1377802156646219,14.976110398328473,Poland - 3rd Liga,17:00,,,2.15,3.67,2.58,1.5714,2.18,,,,2.58,0.2790697674418603,0.13778021566462195
2026-09-26,Warta Gorzow Wielkopolski,Sleza Wroclaw,1x2,1,SB,1.85,0.5798958612357707,1.7244475548919735,0.072807343286176,20.0,Poland - 3rd Liga,15:00,,,1.625,3.8,4.26,1.5682,2.23,,,,1.625,0.1384615384615384,0.072807343286176
